 T: 2018-01-31 18:23:18,911 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:18,928 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:18,991 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:22,198 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:22,198 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:22,198 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:22,198 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:27,597 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:27,598 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:27,599 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:23:27,992 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'e87fd859-41dc-4b40-aa65-f80739e4ce64' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
