 T: 2018-01-31 18:27:19,444 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:19,461 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:19,488 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:21,535 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:21,535 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:21,535 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:21,539 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:26,570 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:26,572 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:26,573 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:27:26,698 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3d002ce1-19ad-4ca0-8329-3f7c48e901d5' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
