 T: 2018-01-31 18:28:54,693 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:28:54,718 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:28:54,724 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:28:56,524 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:28:56,524 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:28:56,524 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:28:56,529 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:10,133 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:10,134 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:10,136 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-31 18:29:10,278 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '04c9ca8e-bc8c-44fb-8ddb-ed64a2d8c713' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
