 T: 2018-01-17 17:22:26,277 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3c66982b-890e-4091-9127-56c4f24ead72' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:26,308 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3c66982b-890e-4091-9127-56c4f24ead72' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:26,356 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3c66982b-890e-4091-9127-56c4f24ead72' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:28,332 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3c66982b-890e-4091-9127-56c4f24ead72' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:28,332 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3c66982b-890e-4091-9127-56c4f24ead72' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:28,332 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3c66982b-890e-4091-9127-56c4f24ead72' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:28,336 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3c66982b-890e-4091-9127-56c4f24ead72' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:33,653 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3c66982b-890e-4091-9127-56c4f24ead72' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:33,654 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3c66982b-890e-4091-9127-56c4f24ead72' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:33,656 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3c66982b-890e-4091-9127-56c4f24ead72' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:33,905 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3c66982b-890e-4091-9127-56c4f24ead72' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:33,905 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3c66982b-890e-4091-9127-56c4f24ead72' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:33,905 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '3c66982b-890e-4091-9127-56c4f24ead72' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:33,976 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3d7433ba-cc45-4e5f-8c67-3e99d6b117a7' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:33,976 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3d7433ba-cc45-4e5f-8c67-3e99d6b117a7' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:38,365 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3d7433ba-cc45-4e5f-8c67-3e99d6b117a7' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:38,365 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3d7433ba-cc45-4e5f-8c67-3e99d6b117a7' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:38,366 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3d7433ba-cc45-4e5f-8c67-3e99d6b117a7' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = ValidateTheUserDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:22:38,367 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3d7433ba-cc45-4e5f-8c67-3e99d6b117a7' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = ContactPage ~ MethodName = ValidateUserDetailsinYourDetails ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-01-17 17:24:38,371 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '3d7433ba-cc45-4e5f-8c67-3e99d6b117a7' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings = 2018-1-17 17:22:19 ~ BrowserName = Chrome ~ ~ClassName = ExceptionHandler ~ MethodName = HandleException ~ Message = Timed out after 120 seconds ~ ScreenShot File = 2018117172438 
