 T: 2018-02-01 16:50:41,235 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '1abb63fb-785c-41d8-b80d-dc0f3803535d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:50:41,254 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '1abb63fb-785c-41d8-b80d-dc0f3803535d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:50:41,329 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '1abb63fb-785c-41d8-b80d-dc0f3803535d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:54:23,096 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '1abb63fb-785c-41d8-b80d-dc0f3803535d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:54:23,096 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '1abb63fb-785c-41d8-b80d-dc0f3803535d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:54:23,096 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '1abb63fb-785c-41d8-b80d-dc0f3803535d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:54:23,100 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '1abb63fb-785c-41d8-b80d-dc0f3803535d' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:54:31,003 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '1abb63fb-785c-41d8-b80d-dc0f3803535d' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:54:31,006 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '1abb63fb-785c-41d8-b80d-dc0f3803535d' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:54:31,007 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '1abb63fb-785c-41d8-b80d-dc0f3803535d' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:54:31,103 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '1abb63fb-785c-41d8-b80d-dc0f3803535d' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:54:31,103 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '1abb63fb-785c-41d8-b80d-dc0f3803535d' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:54:31,103 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id '1abb63fb-785c-41d8-b80d-dc0f3803535d' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:54:31,168 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '67763510-e5cd-4c36-aa59-0917eb9b9d6d' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:54:31,169 |L: INFO |TH: Agent: adapter run thread for test 'ROLUserValidateDataInDefaultViewOfContactUsPage' with id '67763510-e5cd-4c36-aa59-0917eb9b9d6d' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
