 T: 2018-02-01 16:55:17,691 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'ccf0f857-d47a-42a0-81ef-251b8f15a5a2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:55:17,707 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'ccf0f857-d47a-42a0-81ef-251b8f15a5a2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:55:17,728 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'ccf0f857-d47a-42a0-81ef-251b8f15a5a2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:55:19,166 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'ccf0f857-d47a-42a0-81ef-251b8f15a5a2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:55:19,166 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'ccf0f857-d47a-42a0-81ef-251b8f15a5a2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:55:19,166 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'ccf0f857-d47a-42a0-81ef-251b8f15a5a2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:55:19,170 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'ccf0f857-d47a-42a0-81ef-251b8f15a5a2' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:55:22,938 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'ccf0f857-d47a-42a0-81ef-251b8f15a5a2' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:55:22,940 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'ccf0f857-d47a-42a0-81ef-251b8f15a5a2' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:55:22,942 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'ccf0f857-d47a-42a0-81ef-251b8f15a5a2' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-01 16:55:23,143 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLUser' with id 'ccf0f857-d47a-42a0-81ef-251b8f15a5a2' |L: MMSG.Automation |MSG:  UserName = 072270859 ~ Password = MOL1234 ~UserType=  ROLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
