 T: 2018-02-08 17:37:36,252 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:37:36,264 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:37:36,282 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:37:37,363 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:37:37,363 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:37:37,363 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:37:37,366 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:20,143 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:20,144 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:20,146 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:38:20,294 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id '80788e35-4aed-4e37-84b6-bb6e0ab648a3' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
