 T: 2018-02-08 17:52:16,325 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:16,337 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:16,346 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:17,463 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:17,463 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:17,463 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:17,467 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:42,635 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:42,636 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:42,637 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:42,769 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:42,769 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as MOL user ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:42,769 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLUser' with id 'd7ba174e-b3af-4395-926a-a28fe3113f7a' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:42,811 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefination ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:42,812 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:44,667 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = DashboardPage ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:44,667 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefination ~ MethodName = NavigateToTab ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:44,668 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:44,669 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionsPage ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:44,733 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidateDropDownIsPresent ~ ScenarioName =Display Wallet Transactions - Verify that Transactions is displayed in the MOL My Account for SP Card Only ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:44,733 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:44,734 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:44,734 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionPage ~ MethodName = ClickOnDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:44,974 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionPage ~ MethodName = SelectTheDropDown ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:46,402 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = SelectingTheDropDown ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-08 17:52:46,403 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_VerifyThatTransactionsIsDisplayedInTheMOLMyAccountForSPCardOnly' with id '2dd6a577-551c-4f22-9ace-b7d4b3fbf4cb' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = TransactionDefinition ~ MethodName = ValidateDropDownIsPresent ~ Message = Entry ~ ScreenShot File = Not Applicable 
