 T: 2018-02-12 16:06:11,180 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'd2904cd2-449d-424f-8ce0-bd2894636c61' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:06:11,193 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'd2904cd2-449d-424f-8ce0-bd2894636c61' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:06:11,199 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'd2904cd2-449d-424f-8ce0-bd2894636c61' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:06:19,945 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'd2904cd2-449d-424f-8ce0-bd2894636c61' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:06:19,945 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'd2904cd2-449d-424f-8ce0-bd2894636c61' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:06:19,945 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'd2904cd2-449d-424f-8ce0-bd2894636c61' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:06:19,948 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'd2904cd2-449d-424f-8ce0-bd2894636c61' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:07:22,409 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'd2904cd2-449d-424f-8ce0-bd2894636c61' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:07:22,410 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'd2904cd2-449d-424f-8ce0-bd2894636c61' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:07:22,411 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'd2904cd2-449d-424f-8ce0-bd2894636c61' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:07:22,463 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'd2904cd2-449d-424f-8ce0-bd2894636c61' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:07:22,464 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'd2904cd2-449d-424f-8ce0-bd2894636c61' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL Wallet Transaction User ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:07:22,464 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'd2904cd2-449d-424f-8ce0-bd2894636c61' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:07:22,509 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '81746613-7087-4039-a31f-e92ac9303834' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LogoutAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:07:22,510 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '81746613-7087-4039-a31f-e92ac9303834' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = ClickLogoutLink ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 16:09:22,545 |L: INFO |TH: Agent: adapter run thread for test 'LogoutAsROLUser' with id '81746613-7087-4039-a31f-e92ac9303834' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ExceptionHandler ~ MethodName = HandleException ~ Message = Timed out after 120 seconds ~ ScreenShot File = 201821216922 
