 T: 2018-02-12 20:50:13,813 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:50:13,825 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:50:13,833 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:50:15,264 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:50:15,264 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:50:15,264 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:50:15,267 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:50:58,599 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:02,714 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:02,716 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:51:02,768 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id '41ca528b-7ef0-46f9-b945-ce7abc0e2b5a' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
