 T: 2018-02-12 20:54:13,511 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:54:13,523 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:54:13,531 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:54:14,660 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:54:14,660 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:54:14,660 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:54:14,666 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:54:57,928 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:02,154 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:10,226 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 20:55:10,289 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsMOLWalletTransactionUser' with id 'bfa385ff-b714-43fa-b08a-8fb4849bc8c5' |L: MMSG.Automation |MSG:  UserName = 452280245 ~ Password = MOL1234 ~UserType=  MOLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
