 T: 2018-02-12 21:39:37,284 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id '2acd649b-6c36-4251-8184-f1b88eecfae9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:39:37,300 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id '2acd649b-6c36-4251-8184-f1b88eecfae9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:39:37,300 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id '2acd649b-6c36-4251-8184-f1b88eecfae9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:39:38,492 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id '2acd649b-6c36-4251-8184-f1b88eecfae9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:39:38,492 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id '2acd649b-6c36-4251-8184-f1b88eecfae9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:39:38,492 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id '2acd649b-6c36-4251-8184-f1b88eecfae9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:39:38,496 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id '2acd649b-6c36-4251-8184-f1b88eecfae9' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:39:42,376 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id '2acd649b-6c36-4251-8184-f1b88eecfae9' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:39:42,378 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id '2acd649b-6c36-4251-8184-f1b88eecfae9' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:39:42,379 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id '2acd649b-6c36-4251-8184-f1b88eecfae9' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:39:42,447 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id '2acd649b-6c36-4251-8184-f1b88eecfae9' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:39:42,447 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id '2acd649b-6c36-4251-8184-f1b88eecfae9' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL Wallet Transaction User ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:39:42,447 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id '2acd649b-6c36-4251-8184-f1b88eecfae9' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-12 21:39:42,505 |L: INFO |TH: Agent: adapter run thread for test 'DisplayWalletTransactions_UserIsAbleToViewTheCardBalanceIfHeHasSPCardOnly' with id '2dd79c24-44b6-453f-9277-d27e1f78b9b0' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ContactDefinition ~ MethodName = NavigateToTab ~ Message = Entry ~ ScreenShot File = Not Applicable 
