 T: 2018-02-13 15:01:24,696 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'c704de2f-fecd-421d-ac70-965dbc77d149' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 15:01:24,709 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'c704de2f-fecd-421d-ac70-965dbc77d149' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = BrowseApplicationUserURL ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 15:01:24,715 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'c704de2f-fecd-421d-ac70-965dbc77d149' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 15:02:38,066 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'c704de2f-fecd-421d-ac70-965dbc77d149' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = LoginPage ~ MethodName = GoToLoginUrl ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 15:02:38,066 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'c704de2f-fecd-421d-ac70-965dbc77d149' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName =  ~ ~ClassName = Login ~ MethodName = BrowseApplicationUserURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 15:02:38,066 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'c704de2f-fecd-421d-ac70-965dbc77d149' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonDefinition ~ MethodName = LaunchApplicationURL ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 15:02:38,070 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'c704de2f-fecd-421d-ac70-965dbc77d149' |L: MMSG.Automation |MSG:  UserName =  ~ Password =  ~UserType=    ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 15:03:37,888 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'c704de2f-fecd-421d-ac70-965dbc77d149' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = LoginAsUser ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 15:03:37,889 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'c704de2f-fecd-421d-ac70-965dbc77d149' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = CommonAcceptanceTestDefinitions ~ MethodName = ValidatePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 15:03:37,890 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'c704de2f-fecd-421d-ac70-965dbc77d149' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Entry ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 15:03:37,970 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'c704de2f-fecd-421d-ac70-965dbc77d149' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~ClassName = ApplicationLoginPage ~ MethodName = GetUserHomePageName ~ Message = Exit ~ ScreenShot File = Not Applicable 
 T: 2018-02-13 15:03:37,970 |L: INFO |TH: Agent: adapter run thread for test 'LoginAsROLWalletTransactionUser' with id 'c704de2f-fecd-421d-ac70-965dbc77d149' |L: MMSG.Automation |MSG:  UserName = dmzpmxx9914490 ~ Password = MOL1234 ~UserType=  ROLWalletTransactionUser  ~ TransactionTimings =  ~ BrowserName = Chrome ~ ~TestCaseName  = ValidatePageName ~ ScenarioName =Login as ROL Wallet Transaction User ~ Result = Assert Passed ~ Message=  ~ ScreenShot File = Not Applicable 
